basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
LU000008,0.02848885544338886,0.21501823361541583,0.6971371739190224,0.6686483184756336,0.4821189403036066,,,,0.5007259510922724,0.5954794290410248,0.616269261391363,0.7974942065425537,1.1407084448892786,0.9620006407263825,0.9476972581277381,0.9537347955321361,4.088001988594442,2.4704927914143715,2.1660543364746636,1.5969247591906846,119.61538461538461,128.6153846153846,132.6153846153846,151.3846153846154
LU000005,0.030245181174707536,0.16953342539754335,0.8014641898324557,0.7712190086577482,0.6319307644349124,,,,0.5131519601965012,0.6073095512858585,0.6255278560883185,0.7526319482945797,1.216878753629151,1.0099533713736253,0.9956452427135871,1.0025545746093047,3.044633207499545,2.4367030869118356,2.142501005726626,1.6272537965036762,124.53846153846153,134.0,137.92307692307693,150.3846153846154
BEWA0106,0.013526558813594214,0.3233722399595419,0.7542390472467029,0.7407124884331087,0.430866807287161,,,,0.4968046967832148,0.5974230449019282,0.6107520799082198,0.8076440121216539,1.157128320430866,1.0190498343904986,1.028386043735076,1.004618661148317,4.0636305642567105,2.751979724373154,2.543892196360945,1.7424269455349715,127.0,134.56521739130434,135.82608695652175,158.52173913043478
FR003280,-0.03585512868735763,-0.0656595774426616,0.280826959935377,0.3166820886227346,0.3464865373780386,,,,0.6641526137715094,0.4493254897143771,0.47635030188162086,0.49024593640877395,1.2547971041714252,0.9176524913343265,0.939560660662271,0.9368189666823746,3.012885676799598,3.1187638363576022,2.8439828455794878,2.7030522329728996,139.57692307692307,125.11538461538461,127.34615384615384,128.5
DERP2017,0.029216211511635892,0.09362669600916607,0.8372324975501015,0.8080162860384656,0.7436058015409355,0.8290393829621938,0.754916264026731,0.7688885856955843,0.6040660981781378,0.6250780528300571,0.5762091318118621,0.7465459175155307,1.323952539769067,1.0933751800972795,1.1079454231027084,1.0890466955262297,2.6920265731938446,2.404110387501622,2.802852408862397,1.9345054176188514,133.5,135.07692307692307,129.1153846153846,147.19230769230768
DERP2031,0.0251650601740101,0.09876108487214763,0.8381341804882592,0.8129691203142491,0.7393730956161115,0.8491086527862354,0.8326134627384322,0.624527214783592,0.589492155815281,0.5944761781844177,0.5727671423213647,0.7495119490326141,1.1105974049514904,1.098553037667123,1.109390996767022,1.0909048930892906,3.0308423381768783,2.6633842880578236,2.805722292277886,1.947853301297463,133.8846153846154,131.76923076923077,129.19230769230768,147.57692307692307
FR000125,-0.007876987180819972,-0.0039797823113196795,0.8213523889822434,0.8292293761630634,0.8253321712935631,,,,0.5023047759426577,0.5177808638198831,0.49820634947205744,0.522041445019024,3.519459023368721,2.841558189619996,2.8497053050525825,2.782009774090837,2.7963068203600563,2.921465083578338,2.897756360689513,2.7941809463840626,125.91304347826087,127.26086956521739,127.43478260869566,128.30434782608697
DERP2018,0.03265180380204524,0.12080977401694859,0.8487972220627252,0.81614541826068,0.7279874480457766,0.8437116432500117,0.8431651399272406,0.5215029499048869,0.5762481641776137,0.6025107990360768,0.5775733483440518,0.7493437015927528,1.024572454928391,1.0780671019350643,1.0930738877586736,1.0746268818915021,2.8786026835903322,2.506339778405836,2.798692228860792,1.9240901173599552,132.46153846153845,132.96153846153845,129.1153846153846,147.42307692307693
DERP2022,0.01584489950553769,-0.03762981232802132,0.7793440032556243,0.7634991037500866,0.8169738155836456,0.7218422522691783,0.745973281742227,0.6863877343249809,0.560257812862486,0.6063213569801083,0.6260195352231365,0.5539263801011778,1.3282642136993508,1.0792784868124075,1.0900654917457584,1.0717830147815546,2.16063169738943,2.5857501253486017,2.413566677199053,2.49718754582612,129.8846153846154,137.19230769230768,138.15384615384616,137.30769230769232
DERP2033,0.12507074876554114,0.023793003980532634,0.8521234912257609,0.7270527424602198,0.8283304872452283,0.8783709383815371,0.6986001704665525,0.7974647829490453,0.513752790574686,0.5827025185616717,0.6813277675027156,0.6211568046715863,0.8456727379502524,0.7812430561125203,0.7969078040140409,0.7917304999362829,2.638083649959376,2.5691187945898246,2.081179797361474,2.163488079789373,127.96153846153847,134.0,140.73076923076923,139.30769230769232
