basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
FR000138,0.008346510185031186,0.004312438334761137,0.8127701537599438,0.8044236435749126,0.8084577154251826,,,,0.4868317132856165,0.5481537966875059,0.5551544657186522,0.50571926524623,0.9894250963306753,0.9723389902054957,0.9775240372022111,0.9727927241696243,2.617709868186704,2.6685606304984053,2.5978385890418374,2.9592666225481663,125.46153846153847,133.30769230769232,136.76923076923077,133.23076923076923
FR000200,0.01337647758447913,0.006584996347665184,0.7628390167860016,0.7494625392015225,0.7562540204383364,,,,0.4575035013218041,0.5489467933154304,0.557969538326385,0.5052757180794446,0.6404261968432656,0.619158348815591,0.6305303695349123,0.6243799712778684,2.8985084601167306,2.5505588464836424,2.4621912972449764,2.8586824929632204,120.91666666666667,129.91666666666666,131.70833333333334,128.83333333333334
FR003251,0.04267580165510354,-0.03619615425606504,0.8116278637263771,0.7689520620712735,0.8478240179824421,,,,0.6287292890068247,0.6247343856044926,0.5538191755853495,0.6416522468844512,1.6258192494169288,1.5604633177644411,1.5455854200278378,1.5542454575618738,2.109642679560907,2.4807950507605683,2.7427659490048386,2.3644570723894085,137.86363636363637,133.5909090909091,130.04545454545453,136.27272727272728
FR003237,-0.01597910833603,-0.042325486758199915,0.8403488565101919,0.8563279648462219,0.8826743432683918,0.8669918731634298,0.8394027229200327,0.8909107037756963,0.5829247348478124,0.5533150474309905,0.5391614024828054,0.5853707610629828,2.55037940991119,2.395427130221778,2.376175952837673,2.3794478942683583,2.4552189441969348,2.7697886205297744,2.8583666278600233,2.6321922175903256,132.26923076923077,128.42307692307693,128.19230769230768,130.73076923076923
FR000156,-0.011137599504010942,-0.020300001037623083,0.8170313519573331,0.8281689514613441,0.8373313529949562,0.7846534538865028,0.8439320395817269,0.8191359144489856,0.6229550449387533,0.6681054172328053,0.6387269737293725,0.6546514574121359,1.0975178585251943,1.17371754892634,1.1721175634748267,1.1722308593160684,2.3250156142838394,2.3869141492005794,2.38969660820322,2.429015589271376,136.65384615384616,138.03846153846155,136.34615384615384,137.73076923076923
FR003272,-0.0002016737708765426,-0.010143392417450214,0.8359153998379282,0.8361170736088047,0.8460587922553784,,,,0.6007617392768614,0.6037988031350361,0.6002073736956677,0.600060165200138,1.1616918354872199,1.2624157517201227,1.2638171254746957,1.2607864840784453,2.4761871992808,2.5775881081745053,2.57729718644988,2.585397926436945,135.57142857142858,136.95238095238096,137.0952380952381,137.71428571428572
LU000009,-0.007758122235093756,0.017274035857222536,0.7634791081562728,0.7712372303913666,0.7462050722990503,,,,0.5411479825234004,0.5139907045200088,0.5066655105789858,0.48441738222883446,0.7634042777287259,0.7673039900221204,0.7797617470385654,0.7682162240064152,2.3584108542198785,2.7425737962441628,2.783148038678454,3.0272921976682414,132.69230769230768,128.15384615384616,130.46153846153845,129.30769230769232
LU000011,-0.011915079457586408,0.2260139690076839,0.8411608662082777,0.8530759456658641,0.6151468972005938,,,,0.5621020627204069,0.5313164391952958,0.5748947196124831,0.7775893306897103,0.9868912416707145,0.9853275129796186,0.9761941521508498,0.9848471879208129,3.245834379508611,3.3746190476975455,2.806357540622803,2.1734107275760843,131.0,126.6923076923077,132.30769230769232,155.3846153846154
FR003234,-0.04874206973273654,-0.08584942245982174,0.5508506547769685,0.599592724509705,0.6367000772367902,,,,0.5991215229375468,0.49154789143903493,0.5229802531579295,0.6156116778794503,3.112317145012346,2.1284055427723225,2.1084659212382544,2.113985740704112,2.303898434538102,3.2744563516042566,2.9943143709779645,2.539473008602785,132.0909090909091,125.36363636363636,127.81818181818181,133.13636363636363
BEWA0107,-0.02072910779240078,0.14152073781206564,0.7199707003100233,0.7406998081024241,0.5784499624979577,,,,0.5650632320024066,0.5201137979135212,0.5474167029977727,0.7433894153244908,1.2694405494768017,1.4912079728299827,1.4875967855788021,1.4610902490976672,3.4182994258423167,3.0238886339399507,2.9164992709213755,2.0503613306088315,133.58823529411765,132.8235294117647,136.23529411764707,153.47058823529412
FR003288,-0.005751989113985445,0.03948340470977385,0.654095443128542,0.6598474322425274,0.6146120384187681,,,,0.5575694415881807,0.6100512165757946,0.6086554586355158,0.5045898379021678,0.6382568553269785,0.6880302180592102,0.7015352759404719,0.6934709637492008,1.8773455778449442,2.2940264817437233,2.23348687742218,2.940181615859765,131.73076923076923,135.5,135.76923076923077,130.1153846153846
FR000174,0.025707793176635185,0.010111046761907883,0.6338280835515453,0.6081202903749101,0.6237170367896374,,,,0.4378605500946607,0.4948536294007729,0.5140157588347813,0.5027065246246345,0.5779162965551374,0.7329656861708348,0.750190943625443,0.7360537572278646,3.730070984507281,3.1571478893087868,2.8567382788744307,3.00410396378486,117.92307692307692,128.76923076923077,134.0,133.15384615384616
DERP2021,0.027741831138907602,-0.007515606354628224,0.851563218519869,0.8238213873809614,0.8590788248744973,0.8746487494479986,0.8437535831013658,0.8272643331923323,0.4703845996587508,0.5375109042038682,0.5837130569069905,0.5028409911283211,1.398167993796431,1.2380589387643375,1.2370144374691356,1.2280332375068332,3.3370353680427347,2.949660821270224,2.7104806289867502,2.825018791993733,124.5,131.5,135.42307692307693,134.80769230769232
FR003293,-0.011667182330110104,-0.03580434251686815,0.6566241124516431,0.6682912947817532,0.6924284549685112,,,,0.5914750289546523,0.7432257205373142,0.7296565507830608,0.7084231803891902,0.9910164766444115,1.1279449464853946,1.1234272521616535,1.1294656333661262,2.304240628997312,2.2161918163791756,2.237840137946625,2.4361007424448258,142.05555555555554,149.55555555555554,147.16666666666666,144.11111111111111
