basin_id,lit_fra_Alluvium,lit_fra_Carbonate rocks,lit_fra_Granitoids,lit_fra_Impermeable,lit_fra_Inland water,lit_fra_Limestones,"lit_fra_Limestones, sandstones and gravels","lit_fra_Limestones, sandstones and marls",lit_fra_Magmatic rocks,lit_fra_Massif,lit_fra_Molasses and clays,lit_fra_Plutonic rocks,"lit_fra_Sand, gravel and pebbles",lit_fra_Sands and clays,"lit_fra_Schists, gneisses, granites",lit_fra_Sedimentary rocks,lit_fra_Sediments mesosoics,lit_fra_Shales,lit_dom,tot_area
FR001533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.157,Massif,120.298
FR001534,0.0,0.0,0.0,0.0,0.0,3.748,0.0,0.0,0.0,50.599,0.0,0.0,0.0,0.0,0.0,0.0,10.072,35.581,Massif,154.989
FR001535,0.0,0.0,0.0,0.0,0.0,2.196,0.0,0.0,0.0,51.343,0.0,0.0,0.0,0.0,0.0,0.0,10.25,36.211,Massif,156.513
FR001536,0.0,0.0,0.0,0.0,0.0,7.95,0.0,0.0,0.0,87.784,0.0,0.0,0.0,0.0,0.0,0.0,4.266,0.0,Massif,100.0
FR001537,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,58.695,0.0,0.0,0.0,0.0,0.0,0.0,8.582,27.233,Massif,137.279
FR001538,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,51.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.366,Massif,189.351
FR001539,0.0,0.0,0.0,0.0,0.0,20.788,0.0,0.0,0.0,39.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.528,Massif,165.091
FR001540,0.0,0.0,0.0,0.0,0.0,17.805,0.0,0.0,0.0,41.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.017,Massif,169.24
FR001541,0.202,0.0,0.0,0.025,0.0,17.237,0.0,0.0,0.0,50.375,0.0,0.0,0.0,0.0,0.0,0.0,4.147,28.014,Massif,138.77
FR001542,0.205,0.0,0.0,0.025,0.0,17.241,0.0,0.0,0.0,50.371,0.0,0.0,0.0,0.0,0.0,0.0,4.147,28.011,Massif,138.766
FR001543,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001544,0.0,0.0,0.0,0.236,0.0,88.432,0.0,0.0,0.0,11.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001545,1.911,0.0,0.0,4.975,0.0,27.149,0.0,0.0,0.0,40.462,0.0,0.0,0.0,0.0,0.0,0.0,3.289,22.214,Massif,128.46
FR001546,3.598,0.0,0.0,6.169,0.018,23.115,0.0,0.0,0.017,37.169,0.0,3.134,0.0,0.0,0.0,0.0,1.206,25.573,Massif,123.638
FR001547,0.0,0.0,0.0,41.623,0.0,58.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massif,100.0
FR001549,0.0,0.0,0.0,12.883,0.0,49.369,0.0,0.0,0.0,37.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001550,0.0,0.0,0.0,12.883,0.0,49.369,0.0,0.0,0.0,37.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001551,0.0,0.0,0.0,6.452,0.0,39.154,0.0,0.0,0.0,18.659,33.803,0.0,1.868,0.063,0.0,0.0,0.0,0.0,Limestones,100.0
FR001552,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Impermeable,100.0
FR001553,0.24,0.0,0.0,14.62,0.0,48.758,0.0,0.0,0.0,0.0,34.632,0.0,1.75,0.0,0.0,0.0,0.0,0.0,Limestones,100.0
FR001554,0.0,0.0,31.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.27,0.0,0.0,35.159,Shales,110.029
FR001555,0.0,0.0,4.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.622,0.0,0.0,49.28,Shales,114.963
FR001556,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granitoids,100.0
FR001557,0.0,1.621,60.739,0.0,0.0,0.001,0.0,0.0,0.0,0.571,0.0,0.0,0.0,0.0,6.411,0.0,0.0,30.657,Granitoids,135.038
FR001558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massif,100.0
FR001559,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granitoids,99.681
